year,NAME,vacancy_rate
2017,"San Juan-Carolina-Caguas, PR Metro Area",9.1
2017,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",3.6
2017,"Santa Cruz-Watsonville, CA Metro Area",2
2017,"Santa Fe, NM Metro Area",5
2017,"Santa Maria-Santa Barbara, CA Metro Area",1.9
2017,"Santa Rosa, CA Metro Area",4.3
2017,"Savannah, GA Metro Area",7.2
2017,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",3.8
2017,"Seattle-Tacoma-Bellevue, WA Metro Area",3.6
2017,"Sebastian-Vero Beach, FL Metro Area",24.3
2017,"Sebring, FL Metro Area",9.4
2017,"Sheboygan, WI Metro Area",1.7
2017,"Sherman-Denison, TX Metro Area",6.8
2017,"Shreveport-Bossier City, LA Metro Area",8.6
2017,"Sierra Vista-Douglas, AZ Metro Area",8.6
2017,"Sioux City, IA-NE-SD Metro Area",3.5
2017,"Sioux Falls, SD Metro Area",6.9
2017,"South Bend-Mishawaka, IN-MI Metro Area",12.2
2017,"Spartanburg, SC Metro Area",4.9
2017,"Spokane-Spokane Valley, WA Metro Area",2.7
2017,"Springfield, IL Metro Area",3.4
2017,"Springfield, MA Metro Area",4.8
2017,"Springfield, MO Metro Area",7.7
2017,"Springfield, OH Metro Area",5.4
2017,"State College, PA Metro Area",7
2017,"Staunton-Waynesboro, VA Metro Area",6.2
2017,"Stockton-Lodi, CA Metro Area",4.4
2017,"Sumter, SC Metro Area",4.3
2017,"Syracuse, NY Metro Area",7.4
2017,"Tallahassee, FL Metro Area",7.6
2017,"Tampa-St. Petersburg-Clearwater, FL Metro Area",7.3
2017,"Terre Haute, IN Metro Area",5
2017,"Texarkana, TX-AR Metro Area",4.4
2017,"The Villages, FL Metro Area",46.6
2017,"Toledo, OH Metro Area",6.1
2017,"Topeka, KS Metro Area",7.9
2017,"Trenton, NJ Metro Area",3.4
2017,"Tucson, AZ Metro Area",6.2
2017,"Tulsa, OK Metro Area",8.7
2017,"Tuscaloosa, AL Metro Area",5.6
2017,"Tyler, TX Metro Area",10
2017,"Urban Honolulu, HI Metro Area",5.9
2017,"Utica-Rome, NY Metro Area",8.6
2017,"Valdosta, GA Metro Area",11.9
2017,"Vallejo-Fairfield, CA Metro Area",3.4
2017,"Victoria, TX Metro Area",12.7
2017,"Vineland-Bridgeton, NJ Metro Area",2.9
2017,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",9.3
2017,"Visalia-Porterville, CA Metro Area",3.6
2017,"Waco, TX Metro Area",5.7
2017,"Walla Walla, WA Metro Area",4.6
2017,"Warner Robins, GA Metro Area",8.2
2017,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5.4
2017,"Waterloo-Cedar Falls, IA Metro Area",5.9
2017,"Watertown-Fort Drum, NY Metro Area",8.1
2017,"Wausau, WI Metro Area",4.8
2017,"Weirton-Steubenville, WV-OH Metro Area",10.8
2017,"Wenatchee, WA Metro Area",6.8
2017,"Wheeling, WV-OH Metro Area",16.3
2017,"Wichita, KS Metro Area",7.7
2017,"Wichita Falls, TX Metro Area",11.7
2017,"Williamsport, PA Metro Area",12.3
2017,"Wilmington, NC Metro Area",5.5
2017,"Winchester, VA-WV Metro Area",2.6
2017,"Winston-Salem, NC Metro Area",9.4
2017,"Worcester, MA-CT Metro Area",3.6
2017,"Yakima, WA Metro Area",2.3
2017,"York-Hanover, PA Metro Area",4.8
2017,"Youngstown-Warren-Boardman, OH-PA Metro Area",4.1
2017,"Yuba City, CA Metro Area",3.6
2017,"Yuma, AZ Metro Area",5.8
2018,"Abilene, TX Metro Area",5.5
2018,"Aguadilla-Isabela, PR Metro Area",6.7
2018,"Akron, OH Metro Area",5.5
2018,"Albany, GA Metro Area",6.2
2018,"Albany, OR Metro Area",5.2
2018,"Albany-Schenectady-Troy, NY Metro Area",5.2
2018,"Albuquerque, NM Metro Area",9.3
2018,"Alexandria, LA Metro Area",7.3
2018,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",4.6
2018,"Altoona, PA Metro Area",7.3
2018,"Amarillo, TX Metro Area",8.9
2018,"Ames, IA Metro Area",9.9
2018,"Anchorage, AK Metro Area",10.4
2018,"Ann Arbor, MI Metro Area",3.5
2018,"Anniston-Oxford-Jacksonville, AL Metro Area",7.3
2018,"Appleton, WI Metro Area",2.7
2018,"Arecibo, PR Metro Area",5.2
2018,"Asheville, NC Metro Area",5.7
2018,"Athens-Clarke County, GA Metro Area",2.3
2018,"Atlanta-Sandy Springs-Roswell, GA Metro Area",6.9
2018,"Atlantic City-Hammonton, NJ Metro Area",9
2018,"Auburn-Opelika, AL Metro Area",11.5
2018,"Augusta-Richmond County, GA-SC Metro Area",10.3
2018,"Austin-Round Rock, TX Metro Area",6.6
2018,"Bakersfield, CA Metro Area",5.1
2018,"Baltimore-Columbia-Towson, MD Metro Area",7.9
2018,"Bangor, ME Metro Area",8.4
2018,"Barnstable Town, MA Metro Area",9.8
2018,"Baton Rouge, LA Metro Area",10.6
2018,"Battle Creek, MI Metro Area",10.3
2018,"Bay City, MI Metro Area",2.8
2018,"Beaumont-Port Arthur, TX Metro Area",4.7
2018,"Beckley, WV Metro Area",7.1
2018,"Bellingham, WA Metro Area",2.1
2018,"Bend-Redmond, OR Metro Area",0.9
2018,"Billings, MT Metro Area",8.1
2018,"Binghamton, NY Metro Area",9.5
2018,"Birmingham-Hoover, AL Metro Area",9.4
2018,"Bismarck, ND Metro Area",5.4
2018,"Blacksburg-Christiansburg-Radford, VA Metro Area",6.7
2018,"Bloomington, IL Metro Area",9.6
2018,"Bloomington, IN Metro Area",4.2
2018,"Bloomsburg-Berwick, PA Metro Area",6.9
2018,"Boise City, ID Metro Area",2
2018,"Boston-Cambridge-Newton, MA-NH Metro Area",3.1
2018,"Boulder, CO Metro Area",5.1
2018,"Bowling Green, KY Metro Area",4.4
2018,"Bremerton-Silverdale, WA Metro Area",4.9
2018,"Bridgeport-Stamford-Norwalk, CT Metro Area",4.9
2018,"Brownsville-Harlingen, TX Metro Area",8.7
2018,"Brunswick, GA Metro Area",14.3
2018,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",5.9
2018,"Burlington, NC Metro Area",5.8
2018,"Burlington-South Burlington, VT Metro Area",3.9
2018,"California-Lexington Park, MD Metro Area",9.4
2018,"Canton-Massillon, OH Metro Area",4.3
2018,"Cape Coral-Fort Myers, FL Metro Area",7.4
2018,"Cape Girardeau, MO-IL Metro Area",12
2018,"Carbondale-Marion, IL Metro Area",11
2018,"Carson City, NV Metro Area",1.6
2018,"Casper, WY Metro Area",17.3
2018,"Cedar Rapids, IA Metro Area",6.6
2018,"Chambersburg-Waynesboro, PA Metro Area",3
2018,"Champaign-Urbana, IL Metro Area",10
2018,"Charleston, WV Metro Area",6.5
2018,"Charleston-North Charleston, SC Metro Area",8.2
2018,"Charlotte-Concord-Gastonia, NC-SC Metro Area",7.7
2018,"Charlottesville, VA Metro Area",3.5
2018,"Chattanooga, TN-GA Metro Area",6.3
2018,"Cheyenne, WY Metro Area",4.5
2018,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",5.8
2018,"Chico, CA Metro Area",7.7
2018,"Cincinnati, OH-KY-IN Metro Area",4.4
2018,"Clarksville, TN-KY Metro Area",8.9
2018,"Cleveland, TN Metro Area",5.5
2018,"Cleveland-Elyria, OH Metro Area",6.2
2018,"Coeur d'Alene, ID Metro Area",0.4
2018,"College Station-Bryan, TX Metro Area",11.6
2018,"Colorado Springs, CO Metro Area",4.2
2018,"Columbia, MO Metro Area",9.2
2018,"Columbia, SC Metro Area",6.6
2018,"Columbus, GA-AL Metro Area",8.6
2018,"Columbus, IN Metro Area",6.6
2018,"Columbus, OH Metro Area",4.6
2018,"Corpus Christi, TX Metro Area",5.5
2018,"Corvallis, OR Metro Area",5.6
2018,"Crestview-Fort Walton Beach-Destin, FL Metro Area",24.1
2018,"Cumberland, MD-WV Metro Area",7.3
2018,"Dallas-Fort Worth-Arlington, TX Metro Area",8
2018,"Dalton, GA Metro Area",7.3
2018,"Danville, IL Metro Area",13
2018,"Daphne-Fairhope-Foley, AL Metro Area",44.2
2018,"Davenport-Moline-Rock Island, IA-IL Metro Area",8
2018,"Dayton, OH Metro Area",5.6
2018,"Decatur, AL Metro Area",7.1
2018,"Decatur, IL Metro Area",5
2018,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",6.4
2018,"Denver-Aurora-Lakewood, CO Metro Area",4.8
2018,"Des Moines-West Des Moines, IA Metro Area",6.2
2018,"Detroit-Warren-Dearborn, MI Metro Area",4.4
2018,"Dothan, AL Metro Area",13.2
2018,"Dover, DE Metro Area",3.6
2018,"Dubuque, IA Metro Area",8.8
2018,"Duluth, MN-WI Metro Area",4.4
2018,"Durham-Chapel Hill, NC Metro Area",6
2018,"East Stroudsburg, PA Metro Area",2.2
2018,"Eau Claire, WI Metro Area",5
2018,"El Centro, CA Metro Area",9.8
2018,"Elizabethtown-Fort Knox, KY Metro Area",8.2
2018,"Elkhart-Goshen, IN Metro Area",5.3
2018,"Elmira, NY Metro Area",5.6
2018,"El Paso, TX Metro Area",9.5
2018,"Enid, OK Metro Area",8.8
2018,"Erie, PA Metro Area",8.5
2018,"Eugene, OR Metro Area",2.1
2018,"Evansville, IN-KY Metro Area",9.4
2018,"Fairbanks, AK Metro Area",8.7
2018,"Fargo, ND-MN Metro Area",12.9
2018,"Farmington, NM Metro Area",8.6
2018,"Fayetteville, NC Metro Area",7
2018,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",3.1
2018,"Flagstaff, AZ Metro Area",13.8
2018,"Flint, MI Metro Area",6.4
2018,"Florence, SC Metro Area",11
2018,"Florence-Muscle Shoals, AL Metro Area",5.4
2018,"Fond du Lac, WI Metro Area",9.4
2018,"Fort Collins, CO Metro Area",2.8
2018,"Fort Smith, AR-OK Metro Area",5.5
2018,"Fort Wayne, IN Metro Area",7.4
2018,"Fresno, CA Metro Area",3.6
2018,"Gadsden, AL Metro Area",5
2018,"Gainesville, FL Metro Area",24
2018,"Gainesville, GA Metro Area",6.5
2018,"Gettysburg, PA Metro Area",4.8
2018,"Glens Falls, NY Metro Area",2.2
2018,"Goldsboro, NC Metro Area",5.1
2018,"Grand Forks, ND-MN Metro Area",7.4
2018,"Grand Island, NE Metro Area",3.7
2018,"Grand Junction, CO Metro Area",2.2
2018,"Grand Rapids-Wyoming, MI Metro Area",4
2018,"Grants Pass, OR Metro Area",7.9
2018,"Great Falls, MT Metro Area",4.5
2018,"Greeley, CO Metro Area",4.6
2018,"Green Bay, WI Metro Area",5.5
2018,"Greensboro-High Point, NC Metro Area",4.4
2018,"Greenville, NC Metro Area",9
2018,"Greenville-Anderson-Mauldin, SC Metro Area",9.4
2018,"Guayama, PR Metro Area",1.1
2018,"Gulfport-Biloxi-Pascagoula, MS Metro Area",11.3
2018,"Hagerstown-Martinsburg, MD-WV Metro Area",4.6
